_id,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location,DESCRIPTION,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f5"")",1980-08-25T00:00:00.000,0,2.1,0,4500,25.7,0,0,0,0,0,0,0,0,0,3.6,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f6"")",1980-08-25T00:00:00.000,0,2.1,0,4500,25.7,0,0,0,0,0,0,0,0,0,3.6,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f7"")",1992-03-03T00:00:00.000,0.4,1.6,0,0,0,0,0.41,0,0,11,0.18,8.07,8.06,0,9.81,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f8"")",1980-09-16T00:00:00.000,0,1.4,0,6800,27.7,0,0,0,0,0,0,0,0,0,2.5,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9f9"")",1980-09-16T00:00:00.000,0,1.4,0,6800,27.7,0,0,0,0,0,0,0,0,0,2.5,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9fa"")",1994-07-26T00:00:00.000,0.34,1.1,0,1700,0,0,0.41,0,0,17,0.16,7.51,7.45,180,3.57,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9fb"")",1955-08-17T00:00:00.000,0,0,0,150,24.15,0,0,0,0,0,0,0,0,0,1.5,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9fc"")",1992-05-21T00:00:00.000,0.24,0,0,0,0,0,0.55,0,0,14,0.052,7.73,7.56,0,6.91,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9fd"")",1984-06-12T00:00:00.000,0,3.8,0,13000,20.5,0,0,0,0,0,0,0,0,0,6.5,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9fe"")",1984-06-12T00:00:00.000,0,3.8,0,13000,20.5,0,0,0,0,0,0,0,0,0,6.5,0,40.78333,-73.992497,N3A,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ff"")",2006-07-18T00:00:00.000,0.402,0,55.39,0,25.35,5.44,0.236,5.16,1,45.5,0.32,7.87,7.86,8,6.65,50.637,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa00"")",1997-05-28T00:00:00.000,1.19,0,0,0,25.97,5.3,0.323,0,0,10,0.216,7.58,7.67,0,7.25,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa01"")",2010-10-19T00:00:00.000,0.942,0,0,0,0,0,0.724,2.8,62,7.4,0.291,0,0,800,9.24,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa02"")",2004-03-02T00:00:00.000,0.226,0,0,0,25.7,0,0.502,3.67,0,38.4,0.212,8.78,8.72,3,19.49,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa03"")",1972-09-14T00:00:00.000,0,4.2,0,1300,24,0,0,0,0,0,0,0,0,0,3.9,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa04"")",1966-09-01T00:00:00.000,0,0,0,79,27.65,0,0,0,0,0,0,0,0,0,3.9,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa05"")",2000-05-23T00:00:00.000,0.987,0,0,0,25.8,0,0.306,0,0,3,0.239,7.2,7.17,175,4.86,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa06"")",1969-08-20T00:00:00.000,0,4.9,0,35000,23.4,0,0,0,0,0,0,0,0,0,2.5,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa07"")",1982-09-16T00:00:00.000,0,4.6,0,450,27.5,0,0,0,0,0,0,0,0,0,8.2,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa08"")",1982-09-16T00:00:00.000,0,4.6,0,450,27.5,0,0,0,0,0,0,0,0,0,8.2,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa09"")",1969-06-19T00:00:00.000,0,4.3,0,3300,24.9,0,0,0,0,0,0,0,0,0,5.1,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa0a"")",1972-08-07T00:00:00.000,0,5.1,0,200,26.5,0,0,0,0,0,0,0,0,0,5.9,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0fa0b"")",1972-07-06T00:00:00.000,0,4.1,0,7900,23.6,0,0,0,0,0,0,0,0,0,3.8,0,40.645333,-73.820833,J7,Bergen Basin,,,,,,,,,,,,,,,
